-------------------------------------------------------------------------------------------------------
IN Distance, Left, Right, Wall, Shoot, OUT Distance, Left, Right, Wall, Shoot ,ChoiceMode, Error  
0.709340, 0.000000, 1.000000, 0.000000, 0.000000, 0.073567, 0.003320, 0.937977, 0.021849, 0.003218, SEARCH, 0.000000%  
0.705422, 0.000000, 0.000000, 0.000000, 0.000000, 0.596671, 0.046318, 0.034908, 0.017131, 0.094081, SEARCH, 0.000000%  
0.694247, 0.000000, 1.000000, 1.000000, 0.000000, 0.005699, 0.000051, 0.018772, 0.962408, 0.000116, WALLAVOID, 0.000000%  
0.691712, 0.000000, 1.000000, 1.000000, 0.000000, 0.005674, 0.000050, 0.018509, 0.962550, 0.000115, WALLAVOID, 0.000000%  
0.689726, 0.000000, 1.000000, 1.000000, 0.000000, 0.005655, 0.000050, 0.018305, 0.962660, 0.000115, WALLAVOID, 0.000000%  
0.688295, 0.000000, 1.000000, 0.000000, 0.000000, 0.070839, 0.003055, 0.932108, 0.022585, 0.003061, SEARCH, 0.000000%  
0.685828, 0.000000, 1.000000, 0.000000, 0.000000, 0.070523, 0.003025, 0.931374, 0.022674, 0.003042, SEARCH, 0.000000%  
0.683581, 0.000000, 1.000000, 0.000000, 0.000000, 0.070236, 0.002997, 0.930697, 0.022755, 0.003026, SEARCH, 0.000000%  
0.681556, 0.000000, 1.000000, 0.000000, 0.000000, 0.069978, 0.002973, 0.930080, 0.022828, 0.003011, SEARCH, 0.000000%  
0.679755, 0.000000, 1.000000, 1.000000, 0.000000, 0.005557, 0.000047, 0.017321, 0.963205, 0.000111, WALLAVOID, 0.000000%  
0.679127, 0.000000, 1.000000, 0.000000, 0.000000, 0.069669, 0.002944, 0.929331, 0.022916, 0.002993, SEARCH, 0.000000%  
0.677915, 0.000000, 1.000000, 0.000000, 0.000000, 0.069515, 0.002929, 0.928953, 0.022960, 0.002984, SEARCH, 0.000000%  
0.676932, 0.000000, 0.000000, 0.000000, 0.000000, 0.582715, 0.041162, 0.030613, 0.017884, 0.087716, SEARCH, 0.000000%  
0.668722, 0.000000, 1.000000, 1.000000, 0.000000, 0.005453, 0.000045, 0.016300, 0.963792, 0.000108, WALLAVOID, 0.000000%  
0.669208, 0.000000, 1.000000, 1.000000, 0.000000, 0.005458, 0.000045, 0.016344, 0.963766, 0.000108, WALLAVOID, 0.000000%  
0.669670, 0.000000, 1.000000, 1.000000, 0.000000, 0.005462, 0.000045, 0.016385, 0.963742, 0.000108, WALLAVOID, 0.000000%  
0.668527, 0.000000, 1.000000, 1.000000, 0.000000, 0.005451, 0.000045, 0.016283, 0.963802, 0.000108, WALLAVOID, 0.000000%  
0.667423, 0.000000, 1.000000, 1.000000, 0.000000, 0.005441, 0.000045, 0.016184, 0.963860, 0.000108, WALLAVOID, 0.000000%  
0.666219, 0.000000, 1.000000, 1.000000, 0.000000, 0.005430, 0.000045, 0.016078, 0.963922, 0.000107, WALLAVOID, 0.000000%  
0.664946, 0.000000, 1.000000, 1.000000, 0.000000, 0.005418, 0.000044, 0.015966, 0.963988, 0.000107, WALLAVOID, 0.000000%  
0.664340, 0.000000, 1.000000, 1.000000, 0.000000, 0.005412, 0.000044, 0.015914, 0.964020, 0.000107, WALLAVOID, 0.000000%  
0.664340, 0.000000, 1.000000, 1.000000, 0.000000, 0.005412, 0.000044, 0.015914, 0.964020, 0.000107, WALLAVOID, 0.000000%  
0.664340, 0.000000, 1.000000, 1.000000, 0.000000, 0.005412, 0.000044, 0.015914, 0.964020, 0.000107, WALLAVOID, 0.000000%  
0.664340, 0.000000, 1.000000, 1.000000, 0.000000, 0.005412, 0.000044, 0.015914, 0.964020, 0.000107, WALLAVOID, 0.000000%  
